iter	Passed	Remaining
805	1024	246
806	1025	245
807	1026	243
808	1027	242
809	1028	241
810	1029	239
811	1030	238
812	1031	237
813	1032	235
814	1033	234
815	1034	233
816	1035	231
817	1036	230
818	1037	229
819	1038	227
820	1039	226
821	1040	225
822	1041	223
823	1042	222
824	1043	221
825	1044	219
826	1044	218
827	1045	217
828	1046	215
829	1047	214
830	1048	213
831	1049	211
832	1050	210
833	1051	209
834	1052	208
835	1053	206
836	1054	205
837	1055	204
838	1056	202
839	1057	201
840	1058	200
841	1059	198
842	1060	197
843	1061	196
844	1062	194
845	1063	193
846	1064	192
847	1065	190
848	1066	189
849	1067	188
850	1068	186
851	1068	185
852	1069	184
853	1070	183
854	1071	181
855	1072	180
856	1073	179
857	1074	177
858	1075	176
859	1076	175
860	1077	173
861	1078	172
862	1079	171
863	1080	170
864	1081	168
865	1082	167
866	1083	166
867	1084	164
868	1085	163
869	1086	162
870	1087	160
871	1088	159
872	1089	158
873	1090	157
874	1091	155
875	1092	154
876	1093	153
877	1094	152
878	1095	150
879	1096	149
880	1097	148
881	1098	146
882	1099	145
883	1100	144
884	1101	143
885	1102	141
886	1103	140
887	1104	139
888	1105	138
889	1106	136
890	1107	135
891	1108	134
892	1109	132
893	1110	131
894	1111	130
895	1112	129
896	1113	127
897	1114	126
898	1115	125
899	1116	124
900	1117	122
901	1118	121
902	1119	120
903	1120	118
904	1121	117
905	1121	116
906	1122	115
907	1123	113
908	1124	112
909	1125	111
910	1126	110
911	1127	108
912	1128	107
913	1129	106
914	1130	104
915	1131	103
916	1132	102
917	1133	101
918	1134	100
919	1135	98
920	1136	97
921	1138	96
922	1139	95
923	1140	93
924	1141	92
925	1142	91
926	1143	90
927	1144	88
928	1145	87
929	1146	86
930	1147	85
931	1148	83
932	1149	82
933	1150	81
934	1151	80
935	1152	78
936	1153	77
937	1154	76
938	1155	75
939	1156	73
940	1156	72
941	1157	71
942	1158	70
943	1159	68
944	1160	67
945	1161	66
946	1162	65
947	1163	63
948	1164	62
949	1165	61
950	1166	60
951	1167	58
952	1168	57
953	1169	56
954	1170	55
955	1171	53
956	1172	52
957	1173	51
958	1174	50
959	1175	48
960	1176	47
961	1177	46
962	1178	45
963	1179	44
964	1179	42
965	1180	41
966	1181	40
967	1182	39
968	1183	37
969	1184	36
970	1185	35
971	1186	34
972	1187	32
973	1188	31
974	1189	30
975	1190	29
976	1191	28
977	1192	26
978	1193	25
979	1194	24
980	1195	23
981	1196	21
982	1197	20
983	1198	19
984	1199	18
985	1200	17
986	1200	15
987	1201	14
988	1202	13
989	1203	12
990	1204	10
991	1205	9
992	1206	8
993	1207	7
994	1208	6
995	1209	4
996	1210	3
997	1211	2
998	1212	1
999	1213	0
